,0
2007-01-04,0.015087039300394477
2007-01-05,0.37022086344873234
2007-01-08,0.049297978844694196
2007-01-09,0.0026696833696647866
2007-01-10,0.03764992093919842
2007-01-11,0.40283933935281596
2007-01-12,0.2348453162091284
2007-01-16,0.006687385453053347
2007-01-17,0.007990879121611335
2007-01-18,0.08825295903398996
2007-01-19,0.08383699653720961
2007-01-22,0.27782221369204274
2007-01-23,0.12495412163947153
2007-01-24,0.7227482373426701
2007-01-25,1.2700875085707446
2007-01-26,0.014591431940166742
2007-01-29,0.012032062049333103
2007-01-30,0.3331745775300534
2007-01-31,0.43465708617433485
2007-02-01,0.2866280731665411
2007-02-02,0.02870989635062414
2007-02-05,0.009342971756106837
2007-02-06,0.004872049454664259
2007-02-07,0.01946102072586104
2007-02-08,0.013907345240626152
2007-02-09,0.5008695987490146
2007-02-12,0.10636326800840479
2007-02-13,0.5772170332992169
2007-02-14,0.584315464173331
2007-02-15,0.010765862676610696
2007-02-16,0.007599790388102133
2007-02-20,0.08090072106671631
2007-02-21,0.019723882518342128
2007-02-22,0.007354030552721769
2007-02-23,0.1269946142249869
2007-02-26,0.015556381877169576
2007-02-27,12.063182385180218
2007-02-28,0.30924232570090293
2007-03-01,0.06731450573432421
2007-03-02,1.3002276091245968
2007-03-05,0.8850374491231603
2007-03-06,2.4005016092276334
2007-03-07,0.06077335653008855
2007-03-08,0.5078829032912994
2007-03-09,0.004689370968332722
2007-03-12,0.07145622394375387
2007-03-13,4.148661742496478
2007-03-14,0.447708071189678
2007-03-15,0.13570080518634245
2007-03-16,0.14655520554453216
2007-03-19,1.1868813862168448
2007-03-20,0.4011370099294473
2007-03-21,2.9175411719340065
2007-03-22,0.0012139812953928758
2007-03-23,0.011977715133134923
2007-03-26,0.009368157592227136
2007-03-27,0.3824615803402714
2007-03-28,0.6345372945235012
2007-03-29,0.13985276764342106
2007-03-30,0.01378193109103534
2007-04-02,0.0674450616440599
2007-04-03,0.8612069306219202
2007-04-04,0.012384005329572194
2007-04-05,0.09302167322705548
2007-04-09,0.0034661538916089534
2007-04-10,0.06846716822426227
2007-04-11,0.43201901400234516
2007-04-12,0.38517651747037285
2007-04-13,0.12166498632780848
2007-04-16,1.1559006384875066
2007-04-17,0.042014851614128115
2007-04-18,0.0048049803529359985
2007-04-19,0.01444893794264309
2007-04-20,0.857606991002402
2007-04-23,0.053085948143189524
2007-04-24,0.0012329277438583976
2007-04-25,1.028010059433613
2007-04-26,0.006121323815953599
2007-04-27,0.00014511038060159
2007-04-30,0.6132390928759514
2007-05-01,0.07028649169615891
2007-05-02,0.418925877949193
2007-05-03,0.18706469239163376
2007-05-04,0.04622103606764585
2007-05-07,0.065727007425215
2007-05-08,0.013594730708779089
2007-05-09,0.1039037320310976
2007-05-10,1.9477793593024293
2007-05-11,0.9295841875453935
2007-05-14,0.03214875076155514
2007-05-15,0.017002293166366735
2007-05-16,0.7441632370818041
2007-05-17,0.008427476210196318
2007-05-18,0.43698414192741775
2007-05-21,0.02381653120093099
2007-05-22,0.004129101030000759
2007-05-23,0.014574622736181637
2007-05-24,0.9413950436830033
2007-05-25,0.29731938903193234
2007-05-29,0.024655296021923758
2007-05-30,0.6373804780505067
2007-05-31,0.000649554790454868
2007-06-01,0.13965525753425448
2007-06-04,0.03417133957292766
2007-06-05,0.2859044054327211
2007-06-06,0.7856654967481762
2007-06-07,3.0869641021139875
2007-06-08,1.2928473476504954
2007-06-11,0.009249609924997959
2007-06-12,1.1409918057273065
2007-06-13,2.3055971403051476
2007-06-14,0.231972450890445
2007-06-15,0.42598084600205566
2007-06-18,0.01472287326582112
2007-06-19,0.03018453748669908
2007-06-20,1.8516478688273583
2007-06-21,0.38197700921610156
2007-06-22,1.663040670154548
2007-06-25,0.1029035672066797
2007-06-26,0.1048601850982536
2007-06-27,0.8128950927889352
2007-06-28,0.0018051286717776205
2007-06-29,0.02456638967989487
2007-07-02,1.1440681226944214
2007-07-03,0.12818476320569688
2007-07-05,0.0012080533072704109
2007-07-06,0.10916755629754919
2007-07-09,0.008488004659421951
2007-07-10,2.0122733280722493
2007-07-11,0.32734413656030886
2007-07-12,3.6309373261839917
2007-07-13,0.09618534555393306
2007-07-16,0.03684421521570415
2007-07-17,9.371047641970782e-05
2007-07-18,0.04265693738529128
2007-07-19,0.1997292217447602
2007-07-20,1.4934984013903387
2007-07-23,0.2371012610137747
2007-07-24,3.922176276196019
2007-07-25,0.21768390112556807
2007-07-26,5.443798915555917
2007-07-27,2.5594129846150215
2007-07-30,1.0514348564754539
2007-07-31,1.5976578549406866
2007-08-01,0.5235565782421929
2007-08-02,0.19004058381428074
2007-08-03,7.068186754614916
2007-08-06,5.832764615149547
2007-08-07,0.37938488718198676
2007-08-08,1.9801616933740878
2007-08-09,8.790995917825724
2007-08-10,0.0014326508142505356
2007-08-13,0.002453303412078073
2007-08-14,3.296599423522638
2007-08-15,1.9342625715119774
2007-08-16,0.10554299772323007
2007-08-17,6.035141597406156
2007-08-20,0.0007274927505093123
2007-08-21,0.0117959539578823
2007-08-22,1.3719248213148054
2007-08-23,0.011499411665135626
2007-08-24,1.330572108992611
2007-08-27,0.7231154943248921
